Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
39,0,Terminal Stance,100.0%,-2.68 (Inaccurate ),7.44 (Inaccurate ),1.43 (Inaccurate ),4.55 (Inaccurate ),0.0 % ,Should Improve
40,0,Terminal Stance,100.0%,-2.48 (Inaccurate ),7.26 (Inaccurate ),4.32 (Inaccurate ),4.49 (Inaccurate ),0.0 % ,Should Improve
41,0,Terminal Stance,100.0%,-2.85 (Inaccurate ),7.75 (Inaccurate ),2.95 (Inaccurate ),4.81 (Inaccurate ),0.0 % ,Should Improve
42,0,Terminal Stance,100.0%,-2.89 (Inaccurate ),5.07 (Inaccurate ),4.35 (Inaccurate ),3.75 (Inaccurate ),0.0 % ,Should Improve
43,0,Terminal Stance,100.0%,-2.89 (Inaccurate ),2.91 (Inaccurate ),3.01 (Inaccurate ),3.17 (Inaccurate ),0.0 % ,Should Improve
44,0,Terminal Stance,100.0%,-3.16 (Inaccurate ),5.59 (Inaccurate ),2.66 (Inaccurate ),4.48 (Inaccurate ),0.0 % ,Should Improve
45,0,Terminal Stance,100.0%,-3.17 (Inaccurate ),4.59 (Inaccurate ),3.46 (Inaccurate ),4.33 (Inaccurate ),0.0 % ,Should Improve
46,0,Terminal Stance,100.0%,-3.34 (Inaccurate ),3.19 (Inaccurate ),4.07 (Inaccurate ),3.2 (Inaccurate ),0.0 % ,Should Improve
47,0,Terminal Stance,100.0%,-3.58 (Inaccurate ),3.62 (Inaccurate ),4.23 (Inaccurate ),3.2 (Inaccurate ),0.0 % ,Should Improve
48,0,Terminal Stance,100.0%,-3.67 (Inaccurate ),3.05 (Inaccurate ),4.88 (Inaccurate ),3.01 (Inaccurate ),0.0 % ,Should Improve
49,0,Terminal Stance,100.0%,-3.26 (Inaccurate ),3.88 (Inaccurate ),5.26 (Inaccurate ),4.38 (Inaccurate ),0.0 % ,Should Improve
50,0,Terminal Stance,100.0%,-3.34 (Inaccurate ),3.23 (Inaccurate ),5.89 (Inaccurate ),3.99 (Inaccurate ),0.0 % ,Should Improve
51,0,Terminal Stance,100.0%,-3.35 (Inaccurate ),3.29 (Inaccurate ),6.01 (Inaccurate ),4.15 (Inaccurate ),0.0 % ,Should Improve
52,0,Terminal Stance,100.0%,-3.13 (Inaccurate ),3.25 (Inaccurate ),7.14 (Inaccurate ),4.54 (Inaccurate ),0.0 % ,Should Improve
53,0,Terminal Stance,100.0%,-3.11 (Inaccurate ),4.17 (Inaccurate ),6.32 (Inaccurate ),5.07 (Inaccurate ),0.0 % ,Should Improve
54,0,Terminal Stance,100.0%,-3.07 (Inaccurate ),4.67 (Inaccurate ),6.05 (Inaccurate ),5.59 (Inaccurate ),0.0 % ,Should Improve
55,0,Terminal Stance,100.0%,-3.05 (Inaccurate ),3.98 (Inaccurate ),4.88 (Inaccurate ),5.26 (Inaccurate ),0.0 % ,Should Improve
56,0,Terminal Stance,100.0%,-2.87 (Inaccurate ),4.42 (Inaccurate ),6.24 (Inaccurate ),5.7 (Inaccurate ),0.0 % ,Should Improve
57,0,Terminal Stance,100.0%,-3.22 (Inaccurate ),3.69 (Inaccurate ),5.94 (Inaccurate ),4.83 (Inaccurate ),0.0 % ,Should Improve
58,0,Terminal Stance,100.0%,-3.03 (Inaccurate ),5.62 (Inaccurate ),6.4 (Inaccurate ),5.94 (Inaccurate ),0.0 % ,Should Improve
59,0,Terminal Stance,100.0%,-3.06 (Inaccurate ),5.81 (Inaccurate ),6.25 (Inaccurate ),5.98 (Inaccurate ),0.0 % ,Should Improve
60,0,Terminal Stance,100.0%,-3.07 (Inaccurate ),5.48 (Inaccurate ),6.1 (Inaccurate ),5.75 (Inaccurate ),0.0 % ,Should Improve
61,0,Terminal Stance,100.0%,-3.09 (Inaccurate ),5.12 (Inaccurate ),5.6 (Inaccurate ),5.11 (Inaccurate ),0.0 % ,Should Improve
62,0,Terminal Stance,100.0%,-3.56 (Inaccurate ),4.99 (Inaccurate ),6.63 (Inaccurate ),4.0 (Inaccurate ),0.0 % ,Should Improve
63,0,Terminal Stance,100.0%,-3.3 (Inaccurate ),6.05 (Inaccurate ),8.15 (Inaccurate ),4.69 (Inaccurate ),0.0 % ,Should Improve
64,0,Terminal Stance,100.0%,-3.01 (Inaccurate ),7.45 (Inaccurate ),9.13 (Inaccurate ),5.92 (Inaccurate ),0.0 % ,Should Improve
65,0,Terminal Stance,100.0%,-3.4 (Inaccurate ),7.2 (Inaccurate ),9.29 (Inaccurate ),5.06 (Inaccurate ),0.0 % ,Should Improve
66,0,Terminal Stance,100.0%,-3.4 (Inaccurate ),7.23 (Inaccurate ),9.61 (Inaccurate ),4.92 (Inaccurate ),0.0 % ,Should Improve
67,0,Terminal Stance,100.0%,-3.76 (Inaccurate ),6.07 (Inaccurate ),9.31 (Inaccurate ),3.13 (Inaccurate ),0.0 % ,Should Improve
68,0,Terminal Stance,100.0%,-3.68 (Inaccurate ),6.15 (Inaccurate ),10.94 (Inaccurate ),2.64 (Inaccurate ),0.0 % ,Should Improve
69,0,Terminal Stance,100.0%,-3.81 (Inaccurate ),6.67 (Inaccurate ),11.4 (Inaccurate ),2.35 (Inaccurate ),0.0 % ,Should Improve
70,0,Terminal Stance,100.0%,-3.79 (Inaccurate ),7.44 (Inaccurate ),12.07 (Inaccurate ),2.9 (Inaccurate ),0.0 % ,Should Improve
71,0,Terminal Stance,100.0%,-3.34 (Inaccurate ),7.37 (Inaccurate ),12.33 (Inaccurate ),3.33 (Inaccurate ),0.0 % ,Should Improve
72,0,Terminal Stance,100.0%,-3.31 (Inaccurate ),6.92 (Inaccurate ),13.02 (Inaccurate ),2.89 (Inaccurate ),0.0 % ,Should Improve
73,0,Terminal Stance,100.0%,-3.36 (Inaccurate ),6.18 (Inaccurate ),14.83 (Inaccurate ),1.45 (Inaccurate ),0.0 % ,Should Improve
74,0,Terminal Stance,100.0%,-3.15 (Inaccurate ),6.18 (Inaccurate ),16.52 (Inaccurate ),1.29 (Inaccurate ),0.0 % ,Should Improve
75,0,Terminal Stance,100.0%,-2.67 (Inaccurate ),7.31 (Inaccurate ),17.72 (Inaccurate ),2.43 (Inaccurate ),0.0 % ,Should Improve
76,0,Terminal Stance,100.0%,-2.44 (Inaccurate ),7.66 (Inaccurate ),17.61 (Inaccurate ),2.89 (Inaccurate ),0.0 % ,Should Improve
